id,neighborhood,lat,lon,waste_category,fill_level,status,last_emptied,capacity_kg
202445,A Centrum,52.3696964,4.9328894,Rest,39,Open,2025-03-15,500
103542,E West,52.3822224,4.8404624,Rest,48,Open,2025-03-14,500
176046,K Zuid,52.3522566,4.8599769,Paper/Carton,61,Open,2025-03-12,500
59547,E West,52.3735615,4.8647612,Rest,28,Open,2025-03-17,500
193790,K Zuid,52.3465436,4.8877898,Rest,53,Open,2025-03-13,500
193469,N Noord,52.389115,4.9163389,Rest,35,Open,2025-03-16,500
82156,M Oost,52.3434708,4.9481538,Rest,53,Open,2025-03-13,500
200646,E West,52.376621,4.8616556,Rest,25,Open,2025-03-17,500
58745,K Zuid,52.3510955,4.859409,Rest,47,Open,2025-03-14,500
209765,F Nieuw-West,52.3816524,4.8040079,Paper/Carton,21,Open,2025-03-18,500
193791,K Zuid,52.3465453,4.8877651,Rest,54,Open,2025-03-13,500
59461,E West,52.3618233,4.851205,Rest,31,Open,2025-03-16,500
202449,A Centrum,52.3696575,4.932888,Paper/Carton,29,Open,2025-03-16,500
111804,T Zuidoost,52.3178163,4.9442407,Paper/Carton,45,Open,2025-03-14,500
194983,N Noord,52.3930597,4.9389844,Rest,39,Open,2025-03-15,500
109647,F Nieuw-West,52.3817435,4.8042206,Rest,24,Open,2025-03-17,500
195068,M Oost,52.3541225,4.9089528,Glass,35,Open,2025-03-16,500
47594,K Zuid,52.331115,4.8887759,Paper/Carton,57,Open,2025-03-13,500
59585,E West,52.3657845,4.8532476,Rest,35,Open,2025-03-16,500
48472,K Zuid,52.3311311,4.8887762,Rest,52,Open,2025-03-13,500
191838,K Zuid,52.3275166,4.8677001,Rest,57,Open,2025-03-13,500
18751,A Centrum,52.3840393,4.891387,Rest,31,Open,2025-03-16,500
191839,K Zuid,52.3275317,4.8676998,Rest,62,Open,2025-03-12,500
82214,M Oost,52.3633168,4.9403513,Rest,53,Open,2025-03-13,500
59463,E West,52.361824,4.8512358,Rest,28,Open,2025-03-17,500
192383,E West,52.3900456,4.8843254,Rest,44,Open,2025-03-14,500
116601,T Zuidoost,52.3178086,4.9442933,Rest,39,Open,2025-03-15,500
188536,E West,52.3818159,4.8763462,Rest,26,Open,2025-03-17,500
76074,T Zuidoost,52.3216947,4.9523193,Paper/Carton,40,Open,2025-03-15,500
216406,S Weesp,52.313599,5.0384773,Glass,55,Open,2025-03-13,500
103146,M Oost,52.359175,4.989262,Paper/Carton,55,Open,2025-03-13,500
258541,F Nieuw-West,52.3544976,4.8167253,Rest,27,Open,2025-03-17,500
188430,M Oost,52.3519391,4.9439381,Rest,65,Open,2025-03-11,500
258582,F Nieuw-West,52.351362,4.8048772,Rest,43,Open,2025-03-14,500
78832,E West,52.3605884,4.8712737,Rest,39,Open,2025-03-15,500
54123,E West,52.374206,4.8608799,Rest,43,Open,2025-03-14,500
73277,F Nieuw-West,52.3767554,4.8221343,Rest,23,Open,2025-03-17,500
258543,F Nieuw-West,52.3545127,4.8167172,Rest,41,Open,2025-03-15,500
76243,E West,52.3781274,4.8710954,Rest,46,Open,2025-03-14,500
78388,E West,52.3690549,4.8721532,Paper/Carton,27,Open,2025-03-17,500
58083,K Zuid,52.3501059,4.8517788,Rest,62,Open,2025-03-12,500
73347,F Nieuw-West,52.3767575,4.8221149,Rest,28,Open,2025-03-17,500
258260,S Weesp,52.3109524,5.0334884,Rest,63,Open,2025-03-12,500
191407,K Zuid,52.3436782,4.9017174,Rest,54,Open,2025-03-13,500
58025,K Zuid,52.3486784,4.8479948,Rest,58,Open,2025-03-12,500
59997,E West,52.3598551,4.8499653,Rest,30,Open,2025-03-16,500
53853,E West,52.3693849,4.861426,Rest,33,Open,2025-03-16,500
52665,N Noord,52.3955682,4.9074178,Rest,38,Open,2025-03-15,500
258868,N Noord,52.3841082,4.916878,Rest,38,Open,2025-03-15,500
216214,A Centrum,52.3659464,4.9080975,Rest,36,Open,2025-03-15,500
195855,N Noord,52.404399,4.9385529,Rest,32,Open,2025-03-16,500
258264,S Weesp,52.310911,5.0335037,Rest,63,Open,2025-03-12,500
201327,S Weesp,52.3039822,5.0399987,Paper/Carton,57,Open,2025-03-13,500
204685,N Noord,52.3815783,4.9164403,Rest,30,Open,2025-03-16,500
258491,F Nieuw-West,52.3521256,4.8032264,Rest,43,Open,2025-03-14,500
216245,F Nieuw-West,52.3526664,4.8078341,Rest,24,Open,2025-03-17,500
259102,A Centrum,52.3659504,4.9081238,Rest,40,Open,2025-03-15,500
47258,F Nieuw-West,52.3526455,4.8078419,Rest,22,Open,2025-03-17,500
258489,F Nieuw-West,52.3511233,4.8037406,Rest,43,Open,2025-03-14,500
258485,F Nieuw-West,52.3521493,4.8032086,Rest,42,Open,2025-03-15,500
52569,N Noord,52.3886547,4.9591101,Rest,33,Open,2025-03-16,500
194531,F Nieuw-West,52.3523237,4.8042236,Rest,34,Open,2025-03-16,500
52207,N Noord,52.3955682,4.9074178,Rest,30,Open,2025-03-16,500
82134,M Oost,52.3559352,4.9170238,Paper/Carton,66,Open,2025-03-11,500
58043,K Zuid,52.3522136,4.8476555,Rest,54,Open,2025-03-13,500
258487,F Nieuw-West,52.3511026,4.8037514,Rest,40,Open,2025-03-15,500
47164,K Zuid,52.3446895,4.8728622,Glass,45,Open,2025-03-14,500
201323,S Weesp,52.3039756,5.039987,Rest,57,Open,2025-03-13,500
193348,E West,52.377794,4.8771405,Rest,44,Open,2025-03-14,500
148889,N Noord,52.3838276,4.9132461,Rest,33,Open,2025-03-16,500
114097,N Noord,52.4134565,4.8884335,Rest,33,Open,2025-03-16,500
196659,A Centrum,52.3653471,4.8854776,Rest,39,Open,2025-03-15,500
178304,K Zuid,52.3460935,4.8560846,Rest,52,Open,2025-03-13,500
110912,F Nieuw-West,52.3662538,4.832141,Paper/Carton,29,Open,2025-03-16,500
190004,K Zuid,52.3425198,4.9124986,Rest,49,Open,2025-03-14,500
48566,K Zuid,52.3328234,4.8888054,Rest,58,Open,2025-03-12,500
191148,K Zuid,52.3416121,4.9010431,Rest,61,Open,2025-03-12,500
193940,K Zuid,52.3429079,4.9049647,Rest,58,Open,2025-03-12,500
72329,E West,52.3610342,4.8653038,Rest,29,Open,2025-03-16,500
70986,F Nieuw-West,52.3821211,4.8068303,Glass,13,Open,2025-03-19,500
63471,F Nieuw-West,52.3586128,4.8247367,Rest,34,Open,2025-03-16,500
104489,M Oost,52.3539609,5.0005248,Rest,53,Open,2025-03-13,500
193451,N Noord,52.3876472,4.9106201,Rest,29,Open,2025-03-16,500
68234,F Nieuw-West,52.360748,4.794985,Rest,22,Open,2025-03-17,500
126169,E West,52.3765695,4.8738747,Rest,22,Open,2025-03-17,500
133460,F Nieuw-West,52.3759971,4.8206122,Paper/Carton,29,Open,2025-03-16,500
188404,M Oost,52.3483139,4.9408293,Rest,62,Open,2025-03-12,500
110723,F Nieuw-West,52.3750069,4.8190505,Rest,32,Open,2025-03-16,500
78621,E West,52.3699793,4.8672581,Rest,39,Open,2025-03-15,500
74906,F Nieuw-West,52.3805927,4.8242854,Rest,24,Open,2025-03-17,500
